m,delta,f,iter
5.0,0.5,0.1,60.0
5.0,0.5,0.3,56.0
5.0,0.5,0.5,52.0
5.0,0.5,0.7,44.0
5.0,0.5,0.9,38.0
5.0,0.52,0.1,61.0
5.0,0.52,0.3,57.0
5.0,0.52,0.5,48.0
5.0,0.52,0.7,45.0
5.0,0.52,0.9,36.0
5.0,0.54,0.1,60.0
5.0,0.54,0.3,56.0
5.0,0.54,0.5,51.0
5.0,0.54,0.7,43.0
5.0,0.54,0.9,37.0
5.0,0.56,0.1,61.0
5.0,0.56,0.3,54.0
5.0,0.56,0.5,52.0
5.0,0.56,0.7,44.0
5.0,0.56,0.9,38.0
5.0,0.5800000000000001,0.1,60.0
5.0,0.5800000000000001,0.3,54.0
5.0,0.5800000000000001,0.5,50.0
5.0,0.5800000000000001,0.7,44.0
5.0,0.5800000000000001,0.9,36.0
5.0,0.6000000000000001,0.1,62.0
5.0,0.6000000000000001,0.3,56.0
5.0,0.6000000000000001,0.5,50.0
5.0,0.6000000000000001,0.7,45.0
5.0,0.6000000000000001,0.9,38.0
5.0,0.6200000000000001,0.1,61.0
5.0,0.6200000000000001,0.3,56.0
5.0,0.6200000000000001,0.5,51.0
5.0,0.6200000000000001,0.7,44.0
5.0,0.6200000000000001,0.9,38.0
5.0,0.6400000000000001,0.1,61.0
5.0,0.6400000000000001,0.3,56.0
5.0,0.6400000000000001,0.5,50.0
5.0,0.6400000000000001,0.7,45.0
5.0,0.6400000000000001,0.9,36.0
5.0,0.6600000000000001,0.1,59.0
5.0,0.6600000000000001,0.3,57.0
5.0,0.6600000000000001,0.5,51.0
5.0,0.6600000000000001,0.7,44.0
5.0,0.6600000000000001,0.9,38.0
5.0,0.6800000000000002,0.1,59.0
5.0,0.6800000000000002,0.3,56.0
5.0,0.6800000000000002,0.5,51.0
5.0,0.6800000000000002,0.7,46.0
5.0,0.6800000000000002,0.9,35.0
7.0,0.5,0.1,60.0
7.0,0.5,0.3,55.0
7.0,0.5,0.5,48.0
7.0,0.5,0.7,42.0
7.0,0.5,0.9,37.0
7.0,0.52,0.1,59.0
7.0,0.52,0.3,52.0
7.0,0.52,0.5,48.0
7.0,0.52,0.7,41.0
7.0,0.52,0.9,31.0
7.0,0.54,0.1,60.0
7.0,0.54,0.3,54.0
7.0,0.54,0.5,49.0
7.0,0.54,0.7,42.0
7.0,0.54,0.9,28.0
7.0,0.56,0.1,61.0
7.0,0.56,0.3,52.0
7.0,0.56,0.5,49.0
7.0,0.56,0.7,41.0
7.0,0.56,0.9,31.0
7.0,0.5800000000000001,0.1,59.0
