m,delta,f_crit
12.0,0.3,1.0
12.0,0.31,1.0
12.0,0.32,1.0
12.0,0.33,1.0
12.0,0.34,1.0
12.0,0.35000000000000003,1.0
12.0,0.36,1.0
12.0,0.37,1.0
12.0,0.38,1.0
12.0,0.39,1.0
12.0,0.4,1.0
12.0,0.41000000000000003,1.0
12.0,0.42,1.0
12.0,0.43,1.0
12.0,0.44,1.0
12.0,0.45,1.0
12.0,0.46,1.0
12.0,0.47000000000000003,1.0
12.0,0.48,1.0
12.0,0.49,1.0
12.0,0.5,1.0
12.0,0.51,1.0
12.0,0.52,0.99
12.0,0.53,1.0
12.0,0.54,0.96
12.0,0.55,0.99
12.0,0.56,0.94
12.0,0.5700000000000001,0.97
12.0,0.58,0.95
12.0,0.59,0.94
12.0,0.6,0.9
12.0,0.61,0.92
12.0,0.62,0.79
12.0,0.63,0.73
12.0,0.64,0.71
12.0,0.65,0.55
12.0,0.66,0.41
12.0,0.67,0.31
12.0,0.68,0.18
12.0,0.6900000000000001,0.05
12.0,0.7000000000000001,0.0
13.0,0.0,1.0
13.0,0.01,1.0
13.0,0.02,1.0
13.0,0.03,1.0
13.0,0.04,1.0
13.0,0.05,1.0
13.0,0.06,1.0
13.0,0.07,1.0
13.0,0.08,1.0
13.0,0.09,1.0
13.0,0.1,1.0
13.0,0.11,1.0
13.0,0.12,1.0
13.0,0.13,1.0
13.0,0.14,1.0
13.0,0.15,1.0
13.0,0.16,1.0
13.0,0.17,1.0
13.0,0.18,1.0
13.0,0.19,1.0
13.0,0.2,1.0
13.0,0.21,1.0
13.0,0.22,1.0
13.0,0.23,1.0
13.0,0.24,1.0
13.0,0.25,1.0
13.0,0.26,1.0
13.0,0.27,1.0
13.0,0.28,1.0
13.0,0.29,1.0
13.0,0.3,1.0
13.0,0.31,1.0
13.0,0.32,1.0
13.0,0.33,1.0
13.0,0.34,1.0
13.0,0.35000000000000003,1.0
13.0,0.36,1.0
13.0,0.37,1.0
13.0,0.38,1.0
13.0,0.39,1.0
13.0,0.4,1.0
13.0,0.41000000000000003,1.0
13.0,0.42,1.0
13.0,0.43,1.0
13.0,0.44,0.99
13.0,0.45,1.0
13.0,0.46,1.0
13.0,0.47000000000000003,1.0
13.0,0.48,1.0
13.0,0.49,1.0
13.0,0.5,1.0
13.0,0.51,0.99
13.0,0.52,0.97
13.0,0.53,0.99
13.0,0.54,0.98
13.0,0.55,0.96
13.0,0.56,0.9
13.0,0.5700000000000001,0.97
13.0,0.58,0.94
13.0,0.59,0.93
13.0,0.6,0.82
13.0,0.61,0.84
13.0,0.62,0.82
13.0,0.63,0.69
13.0,0.64,0.64
13.0,0.65,0.51
13.0,0.66,0.49
13.0,0.67,0.19
13.0,0.68,0.17
13.0,0.6900000000000001,0.05
13.0,0.7000000000000001,0.0
14.0,0.0,1.0
14.0,0.01,1.0
14.0,0.02,1.0
14.0,0.03,1.0
14.0,0.04,1.0
14.0,0.05,1.0
14.0,0.06,1.0
14.0,0.07,1.0
14.0,0.08,1.0
14.0,0.09,1.0
14.0,0.1,1.0
14.0,0.11,1.0
14.0,0.12,1.0
14.0,0.13,1.0
14.0,0.14,1.0
14.0,0.15,1.0
14.0,0.16,1.0
14.0,0.17,1.0
14.0,0.18,1.0
14.0,0.19,1.0
14.0,0.2,1.0
14.0,0.21,1.0
14.0,0.22,1.0
14.0,0.23,1.0
14.0,0.24,1.0
14.0,0.25,1.0
14.0,0.26,1.0
14.0,0.27,1.0
14.0,0.28,1.0
14.0,0.29,1.0
14.0,0.3,1.0
14.0,0.31,1.0
14.0,0.32,1.0
14.0,0.33,1.0
14.0,0.34,1.0
14.0,0.35000000000000003,1.0
14.0,0.36,1.0
14.0,0.37,1.0
14.0,0.38,1.0
14.0,0.39,1.0
14.0,0.4,1.0
14.0,0.41000000000000003,1.0
14.0,0.42,1.0
14.0,0.43,1.0
14.0,0.44,1.0
14.0,0.45,1.0
14.0,0.46,1.0
14.0,0.47000000000000003,1.0
14.0,0.48,1.0
14.0,0.49,1.0
14.0,0.5,0.99
14.0,0.51,1.0
14.0,0.52,0.99
14.0,0.53,0.98
14.0,0.54,1.0
14.0,0.55,0.99
14.0,0.56,0.96
14.0,0.5700000000000001,0.91
14.0,0.58,0.88
14.0,0.59,0.89
14.0,0.6,0.8
14.0,0.61,0.78
14.0,0.62,0.8
14.0,0.63,0.71
14.0,0.64,0.57
14.0,0.65,0.53
14.0,0.66,0.5
14.0,0.67,0.29
14.0,0.68,0.12
14.0,0.6900000000000001,0.04
14.0,0.7000000000000001,0.0
